result_index,erase_time,x,y,tx,ty,r,error_to_accepted
12,228.530000,13.0713,2.40427,-11.0228,6.49692,0.108987,7.1071
17,228.540000,13.0194,2.47499,-10.5453,4.38486,0.251364,6.71087
18,228.540000,13.0194,2.47499,-10.3142,3.01193,0.332178,6.23124
19,228.540000,-8.23052,3.333,-8.46666,-9.9964,0.0591857,10.3928
25,228.540000,-7.50554,3.80827,-9.26178,-8.66605,0.120265,9.23777
28,228.540000,-8.47205,4.83352,-11.0423,-4.70358,0.327087,6.53562
32,243.530000,-11.3605,-3.56295,-20.0056,-5.91832,-0.68924,7.92802
33,243.540000,8.68951,2.01373,-3.1649,12.9119,-3.03615,10.0473
36,248.530000,8.6892,2.01512,-3.9318,12.26,-2.96584,9.59008
37,248.530000,8.6892,2.01512,-2.39842,9.50099,-2.95117,6.6454
38,253.530000,8.68921,2.01678,-2.43542,9.4795,-2.94832,6.64522
39,258.530000,8.6924,2.0138,-3.14973,12.8921,-3.03918,10.0505
40,258.530000,8.6924,2.0138,-2.50839,9.41872,-2.93763,6.61427
41,263.530000,8.67827,2.01041,-2.50478,8.09521,-2.97668,6.32401
44,358.530000,8.63435,1.90818,-2.5361,7.65557,-2.991,6.30833
47,393.530000,9.90566,3.89686,-11.7896,-7.03968,0.117183,6.80115
72,498.530000,-1.88251,2.41733,-11.3088,-6.5653,0.128817,6.52155
73,503.540000,-2.21883,3.61373,-8.05106,-5.82871,0.278851,7.52721
81,533.530000,-1.04291,5.62814,-6.95408,-11.2342,0.112428,12.5388
82,533.530000,1.44741,5.53792,-5.77703,-9.75042,0.551297,10.7804
83,533.530000,11.8763,-2.21408,-10.6691,6.10174,0.124391,7.02543
84,533.530000,11.8763,-2.21408,-10.3231,6.54856,0.124302,7.56658
92,543.530000,11.874,-2.22583,0.398471,22.1621,-0.670323,17.0772
93,543.530000,11.874,-2.22583,11.0835,4.00455,-3.09608,6.89571
97,558.530000,-2.39323,2.25944,-10.3947,-8.73323,0.0175776,8.67673
108,568.540000,-1.0751,4.36074,-4.25988,-7.164,0.577736,10.7226
110,573.530000,-4.02334,1.98782,-13.3853,4.61887,-0.291513,6.52773
114,573.530000,-1.24629,4.31109,-3.91625,-7.59156,0.538971,11.334
128,583.530000,-4.07561,1.88235,-13.5685,4.3142,-0.31674,6.31818
132,583.530000,-1.19891,4.32625,-3.74299,-7.58876,0.551046,11.4325
136,593.530000,-1.50817,4.22396,-3.55666,-8.10091,0.48032,12.041
141,608.530000,4.2395,1.47319,-12.3277,2.97511,2.06373,7.87693
142,613.530000,12.5449,0.0135392,-11.0544,4.29132,0.206536,6.08641
179,658.530000,-1.2487,2.87586,-11.3917,7.92351,-0.0147155,8.69379
180,658.530000,-0.881867,3.00868,-11.7655,6.95627,0.1098,7.42372
181,658.530000,-0.536549,3.089,-11.6486,6.58685,0.222942,6.90457
182,658.530000,-0.258428,3.12459,-10.5735,8.56751,0.312402,8.93922
208,678.540000,-1.96476,3.05878,-12.0076,-7.13431,-0.041551,6.59612
221,708.530000,-1.51811,3.34632,-10.7924,-7.37443,0.0850479,7.32272
222,708.530000,-0.765893,3.59387,-9.62147,-7.4278,0.300976,7.85038
223,708.530000,-0.954271,3.5485,-9.78438,-7.50868,0.248238,7.8672
225,708.530000,-2.19161,2.94946,-11.7043,-7.46614,-0.128095,6.86099
236,728.530000,5.76134,1.20346,-5.68125,11.8713,0.105818,14.1174
239,763.530000,-2.61944,10.6596,12.5359,-8.03313,0.934701,23.7105
240,763.530000,-4.36704,10.0706,2.74265,-14.2046,0.766495,22.1091
241,763.530000,9.1321,6.0904,-16.124,-7.69615,2.15828,23.9148
242,763.530000,-2.11838,10.7704,-1.18911,-11.8495,0.981455,18.419
243,768.540000,9.79084,-4.23044,-1.20967,10.4581,-3.04399,19.0512
249,793.530000,-2.8204,11.3362,-11.8349,12.1909,0.954312,8.05967
250,803.530000,-10.0424,6.33996,-10.716,-5.49636,0.196291,6.17964
251,803.530000,-9.38369,7.27954,-6.98848,-8.13505,0.29295,10.8217
254,833.530000,-12.481,5.89285,-22.8625,10.689,0.14109,14.7556
257,833.530000,2.98137,6.17855,-6.17117,11.6651,0.174386,13.73
271,853.540000,2.95206,6.20055,-9.81967,7.99107,0.201144,8.87601
273,858.530000,2.9433,6.20354,-9.88983,8.29757,0.165467,9.15828
275,863.530000,2.96967,6.19816,-3.42769,-9.07446,1.25948,10.8147
276,868.530000,2.9429,6.20417,-5.96315,-6.67307,1.04073,7.26663
277,873.530000,2.95044,6.20312,-6.56418,-11.1339,0.447149,11.2957
278,873.530000,2.95044,6.20312,-6.01011,-10.364,0.625256,10.4433
279,873.530000,2.95044,6.20312,-10.6656,6.22059,0.230074,6.93307
280,873.530000,2.96066,6.20201,-11.5572,-6.67891,0.17414,6.35403
281,873.530000,2.96066,6.20201,-5.3547,-7.64613,1.07391,8.40819
282,878.540000,2.96701,6.2009,-1.06311,-12.6663,0.855413,14.391
283,878.540000,2.96701,6.2009,-10.9087,5.9246,0.227391,6.59164
284,898.540000,2.95038,6.20247,-10.2181,-8.01616,0.23326,7.77483
286,898.540000,2.95038,6.20247,-6.8109,-6.19507,0.939211,6.39434
288,903.530000,2.97137,6.19956,-11.5003,-6.75912,0.162693,6.4782
290,903.530000,2.97137,6.19956,-10.2998,10.3577,-0.0224204,10.9163
292,913.540000,2.93948,6.2025,-11.0528,5.84922,0.222815,6.48524
293,913.540000,2.96911,6.19898,-6.12012,-6.92418,0.982479,7.30782
294,918.540000,2.96877,6.19717,-5.40191,-7.84294,1.05283,8.52336
302,943.540000,4.6695,5.8919,-8.5109,8.0394,0.286899,9.52666
303,948.540000,4.20407,6.01964,1.10191,7.88751,-2.58974,11.6968
311,993.530000,10.9996,-6.38692,-11.3849,9.57185,-2.91054,29.0043
314,1003.540000,9.8578,-8.05075,-11.9791,8.20073,-2.74929,29.0306
315,1003.540000,11.1246,-6.18342,-11.1471,8.16122,-2.92682,27.8781
330,1103.540000,-7.49246,3.33578,-11.1345,7.93367,0.218988,7.75451
331,1103.540000,-7.67336,2.8955,-11.8172,7.0346,0.160942,7.22058
332,1103.540000,-7.57646,3.14032,-11.7716,7.82071,0.193047,7.74306
333,1103.540000,-7.89735,2.21275,-12.1177,6.39581,0.0733014,7.26402
334,1103.540000,-7.8412,2.40416,-11.1473,8.64811,0.0976242,9.44576
336,1103.540000,-7.96897,1.93906,-10.7934,8.64697,0.0388054,10.0008
343,1118.530000,-8.23009,3.18077,-10.5537,-6.79028,0.167843,7.15578
347,1118.530000,-7.21205,5.08311,-9.3343,-6.02624,0.412991,8.49234
349,1118.540000,-8.34555,2.86418,-7.70541,-9.90543,0.129649,10.9012
356,1133.540000,-8.94928,3.13058,-10.7923,-6.78854,0.118968,6.70152
359,1138.540000,-7.20852,6.15853,-10.1332,-4.45948,0.489468,7.39238
361,1138.540000,-7.42565,5.89491,-9.23727,-5.50503,0.453444,8.40162
381,1178.540000,9.28237,-3.43357,-1.28716,9.83528,-2.97557,16.1679
382,1178.540000,9.25439,-3.50828,-2.63195,5.92563,-2.96751,13.7603
409,1213.540000,1.8074,5.69379,-3.98233,-12.7642,0.68827,13.9795
411,1213.540000,1.8074,5.69379,-9.46143,-9.0393,0.375298,8.86056
448,1263.530000,-4.84715,0.647068,-14.4952,7.51297,-0.256502,9.77248
449,1263.530000,-4.86332,0.511572,-14.8323,7.10011,-0.284408,9.54583
450,1263.530000,-4.81608,0.847899,-14.327,7.63753,-0.214942,9.67604
451,1263.530000,-4.89009,0.0244288,-13.9464,8.84206,-0.384216,11.6728
452,1268.540000,1.8057,5.7049,-9.96011,-7.87432,0.32401,7.67075
454,1268.540000,0.0981922,4.89868,-13.7447,10.3317,1.20144,9.02799
455,1268.540000,-2.32412,4.31337,-10.6517,12.4177,0.687181,10.6653
456,1268.540000,-2.20991,4.37298,-10.4473,12.8441,0.713476,11.0233
460,1278.540000,-4.74659,-1.17386,-18.0463,2.86428,-0.633418,8.5168
462,1278.540000,-3.56254,3.34908,-11.4308,8.86075,0.363546,8.26858
463,1278.540000,-4.35174,2.22943,-11.8068,7.05832,0.0824666,7.72138
464,1278.540000,-3.53394,3.37924,-11.4127,8.97617,0.372048,8.34906
465,1278.540000,-4.29509,2.33671,-11.1314,8.20419,0.10728,8.85355
466,1278.540000,-3.24121,3.66096,-10.5167,10.787,0.45516,9.91773
467,1278.540000,-4.84227,0.678535,-15.1643,6.2437,-0.251757,8.60705
468,1278.540000,-4.8132,0.86087,-15.1687,6.29898,-0.213993,8.48281
469,1278.540000,-4.77108,1.06997,-14.7773,6.58464,-0.170365,8.48053
470,1278.540000,-4.88922,0.0597034,-14.7979,7.72127,-0.378767,10.6132
474,1283.540000,-4.82609,-0.828336,-18.2365,1.24674,-0.560432,7.09699
475,1283.540000,-4.76791,-1.1155,-18.7258,2.6642,-0.620277,8.72915
477,1283.540000,-0.0349876,4.89653,-13.9473,9.42405,1.1732,8.32882
478,1283.540000,-3.8217,3.06136,-11.5966,8.16284,0.284927,7.8988
479,1283.540000,-3.50363,3.4208,-11.5684,8.83595,0.382986,8.14506
480,1283.540000,-3.13852,3.75858,-10.8753,10.497,0.484606,9.45689
481,1283.540000,-2.83801,3.99036,-10.6736,11.2967,0.56213,9.97622
482,1288.540000,-4.80898,0.92248,-15.0222,6.17094,-0.200929,8.26749
483,1288.540000,-2.0102,4.46501,-12.903,12.8298,0.757315,11.0341
484,1288.540000,-4.89151,0.224584,-14.7072,7.53611,-0.344571,10.2537
485,1288.540000,1.80688,5.70735,-9.27602,-8.76521,0.357538,8.66208
487,1293.540000,-3.28337,2.57774,-10.2176,-7.74464,0.197343,8.07893
521,1373.540000,1.80558,5.71943,-10.2774,-7.56111,0.296701,7.32937
531,1393.540000,1.80266,5.71809,-9.3471,-8.49662,0.35411,8.38971
534,1398.540000,1.80296,5.71936,-10.6537,-7.14604,0.272095,6.87728
548,1423.530000,1.80346,5.72997,-10.9445,-6.80125,0.261529,6.49596
